id,config_id,updated_at,trading_date,cashflow,total_assets,positions
d770ff36-09d2-4ad2-9758-d8aa3927036f,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:16:07.277132+00,2025-05-14 00:00:00+00,5461.43,102559.70,"{""KO"": {""value"": 4772.04, ""shares"": 69}, ""AXP"": {""value"": 20406.8, ""shares"": 68}, ""BAC"": {""value"": 26530.82, ""shares"": 593}, ""CVX"": {""value"": 25217.26, ""shares"": 178}, ""AAPL"": {""value"": 20171.35, ""shares"": 95}}"
be18a6b8-4009-41e4-b5b5-a2f0103ec6ae,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:14:57.020498+00,2025-05-13 00:00:00+00,3960.93,102611.76,"{""KO"": {""value"": 4758.24, ""shares"": 69}, ""AXP"": {""value"": 22067.9, ""shares"": 73}, ""BAC"": {""value"": 26258.04, ""shares"": 593}, ""CVX"": {""value"": 25338.3, ""shares"": 178}, ""AAPL"": {""value"": 20228.35, ""shares"": 95}}"
7c68322a-1a6b-4db9-a01f-88cbffd3d88d,920701f3-3447-49d8-9b77-f1f713fd609c,2025-05-25 06:12:20.804649+00,2025-05-22 00:00:00+00,44851.91,98726.88,"{""KO"": {""value"": 4837.52, ""shares"": 68}, ""AXP"": {""value"": 14646.18, ""shares"": 51}, ""BAC"": {""value"": 14812.02, ""shares"": 342}, ""CVX"": {""value"": 14746.61, ""shares"": 109}, ""AAPL"": {""value"": 4832.64, ""shares"": 24}}"
a90195c8-d3fe-44a7-aa6e-2b3e815a76a1,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:10:30.421434+00,2025-05-12 00:00:00+00,5293.69,101539.97,"{""KO"": {""value"": 4797.57, ""shares"": 69}, ""AXP"": {""value"": 20924.4, ""shares"": 70}, ""BAC"": {""value"": 25712.48, ""shares"": 593}, ""CVX"": {""value"": 25208.36, ""shares"": 178}, ""AAPL"": {""value"": 19603.47, ""shares"": 93}}"
6f6bceec-0a12-43dd-8421-1865033d5a80,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:09:03.347342+00,2025-05-09 00:00:00+00,14842.77,98409.56,"{""KO"": {""value"": 4865.88, ""shares"": 69}, ""AXP"": {""value"": 19915.7, ""shares"": 70}, ""BAC"": {""value"": 19641.3, ""shares"": 470}, ""CVX"": {""value"": 24651.22, ""shares"": 178}, ""AAPL"": {""value"": 14492.69, ""shares"": 73}}"
49e9911a-5328-4e55-8025-a7abfcc48485,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:03:16.97209+00,2025-05-08 00:00:00+00,10188.45,98014.49,"{""KO"": {""value"": 9607.95, ""shares"": 135}, ""AXP"": {""value"": 19856.2, ""shares"": 70}, ""BAC"": {""value"": 19552.0, ""shares"": 470}, ""CVX"": {""value"": 24393.12, ""shares"": 178}, ""AAPL"": {""value"": 14416.77, ""shares"": 73}}"
dc472b29-6893-4e48-b1df-2f5e745ae105,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:01:45.872875+00,2025-05-07 00:00:00+00,31420.50,97337.29,"{""KO"": {""value"": 9774.0, ""shares"": 135}, ""AXP"": {""value"": 19336.8, ""shares"": 70}, ""BAC"": {""value"": 4870.67, ""shares"": 119}, ""CVX"": {""value"": 14665.32, ""shares"": 108}, ""AAPL"": {""value"": 17270.0, ""shares"": 88}}"
beeb755a-c948-472d-8379-bc02a7cf0f9f,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 06:00:27.497763+00,2025-05-06 00:00:00+00,20641.60,97378.26,"{""KO"": {""value"": 4733.52, ""shares"": 66}, ""AXP"": {""value"": 33044.4, ""shares"": 120}, ""BAC"": {""value"": 4859.96, ""shares"": 119}, ""CVX"": {""value"": 14644.8, ""shares"": 108}, ""AAPL"": {""value"": 19453.98, ""shares"": 98}}"
b1c57a4d-f52c-4a90-8ded-33581b9d33e8,74ecabb0-48d9-44b8-b929-1f513bd03fc1,2025-05-25 05:59:01.033287+00,2025-05-05 00:00:00+00,24849.01,97713.72,"{""KO"": {""value"": 4732.2, ""shares"": 66}, ""AXP"": {""value"": 28915.12, ""shares"": 104}, ""BAC"": {""value"": 4893.28, ""shares"": 119}, ""CVX"": {""value"": 14634.0, ""shares"": 108}, ""AAPL"": {""value"": 19690.11, ""shares"": 99}}"
98ec5979-d617-4fb8-93b8-9b967e2c9151,92324c1c-498e-438a-939a-58e240ac1398,2025-05-25 05:56:58.627988+00,2025-05-23 00:00:00+00,23887.68,93324.05,"{""KO"": {""value"": 4593.28, ""shares"": 64}, ""AXP"": {""value"": 9127.04, ""shares"": 32}, ""BAC"": {""value"": 13953.6, ""shares"": 323}, ""CVX"": {""value"": 23211.8, ""shares"": 170}, ""AAPL"": {""value"": 18550.65, ""shares"": 95}}"
